parent_asin,title,main_category,price,average_rating,rating_number
B0BT1TM3S2,"GE Personal Security Window and Door Alarm, 1 Pack, DIY Protection, Burglar Alert, Wireless, Magnetic Sensor, Off/Chime/Alarm, Easy Installation, Ideal for Home, Garage, Apartment and More, 56789",Tools & Home Improvement,7.99,4.5,11619
B07FTSFGXH,"Cat6 Ethernet Cable, 12 Feet (2 Pack) LAN, utp Cat 6, RJ45, Network Cord, Patch, Internet Cable - 12 ft - Black",Industrial & Scientific,11.99,4.7,24207
B00RVFCFI2,ExpertPower XP-669 7.5-Inch Dual Band SMA-F Antenna (Black),Cell Phones & Accessories,12.25,4.6,2936
B07ZFKHTCV,Ubiquiti Unifi Security Gateway (USG),Computers,,4.5,5551
B0C49KQRX4,"Tzowla Travel Laptop Backpack Water Resistant Anti-Theft Bag with USB Charging Port and Lock 15.6 Inch Computer Business Backpacks for Women Men Gift,Bookbag Casual Daypack",Computers,25.49,4.6,42892
B07G57JHYP,"Laptop Skin Shop 15 15.6 inch Laptop Notebook Skin Sticker Cover Art Decal Fits 13.3"" 14"" 15.6"" 16"" HP Dell (Free 2 Wrist Pad Included) Others25-1 (Abstract)",Computers,12.95,4.1,8032
B07FLXV8TT,ASUS RGB LGA1151 DDR4 5-Way Optimization ATX Motherboard (Z170 Pro Gaming/AURA),Computers,198.86,4.4,1103
B0BP3ZSMH5,"BTECH, BaoFeng BL-5 Battery Eliminator for for BF-F8HP, UV-5X3, and UV-5R Radios",Cell Phones & Accessories,18.49,4.7,7003
B00E4TOWR0,HP Wired USB Keyboard K1500 (Black),Computers,,4.5,2736
B00V8Y6OMK,"Nikon 70-200mm f/2.8G ED VR II AF-S Nikkor Zoom Lens For Nikon Digital SLR Cameras (New, White box)",Camera & Photo,929.0,4.4,586
B006J73RAI,Outdoor PTZ 2.4G WiFi Security Camera HD 2MP Pan/Tilt 5X Optical Zoom 150ft Night Vision Two-Way Audio IP66 Weatherproof Motion Detection,Computers,,4.5,631
B09ZTC6LGP,"KLO Bluetooth Mouse for MacBook/MacBook air/Pro/iPad, Wireless Mouse for Laptop/Notebook/pc/iPad/Chromebook (BT/A deep Pink-Black)",All Electronics,14.99,4.3,23550
B07F4P3JH7,"Fire HD 8 Tablet (8"" HD Display, 16 GB) - Black (Previous Generation - 8th)",Amazon Devices,,4.4,93242
B074VMZ8JB,"Vantec CB-ISATAU2 SATA/IDE to USB 2.0 Adapter Supports 2.5-Inch, 3.5-Inch, 5.25-Inch Hard Disk Drives (Black)",All Electronics,21.32,4.5,4400
B08WJLGFWF,MICRO CONNECTORS Addressable RGB 1 to 4 Splitter Cable - 30cm/ 2 Pack (F04-04ARGB30-2P),Computers,13.49,4.7,4155
B07BKZVWDM,"Cmple - 2 RCA to 2 RCA Cables 100ft, Male to Male RCA Cable Stereo Audio Speaker Cable RCA Red and White Cables Double RCA Subwoofer Cable for Car Stereo, Marine Audio, Audio Mixer, Amplifier - Black",Home Audio & Theater,18.99,4.5,1297
B094N8ZB1Z,Ultra Clarity Cables Coaxial Cable 20ft (2 Pack) - Triple Shielded RG6 Coax TV Cable Cord in-Wall Rated Gold Plated Connectors Digital Audio Video with Male F Connector Pin (White) - 20 Feet,Industrial & Scientific,19.99,4.7,2027
B09YLX1834,eMACROS Long Range Solar Wireless Driveway Alarm Outdoor Weather Resistant Motion Sensor & Detector-Security Alert System-Monitor & Protect Outside Property,Tools & Home Improvement,99.99,4.4,13125
B0C58RXBPQ,"FEEL2NICE iPhone Charger Cable [MFi Certified] ，(3 Pack 6 Foot) Nylon Braided Lightning Cable, iPhone Charging Cord USB Cable Compatible with iPhone 11/Pro/X/Xs Max/XR/8 Plus /7 Plus/6/ iPad （Black",Cell Phones & Accessories,15.99,4.5,47700
B09G3CL3Y3,StarTech.com 25ft CAT6 Ethernet Cable - Purple CAT 6 Gigabit Ethernet Wire -650MHz 100W PoE++ RJ45 UTP Molded Category 6 Network/Patch Cord w/Strain Relief/Fluke Tested UL/TIA Certified (C6PATCH25PL),All Electronics,13.74,4.7,1903
B009756DPK,"Tripp Lite Cat6 Gigabit Snagless Molded Patch Cable (RJ45 M/M) - Red, 5-ft.(N201-005-RD)",All Electronics,,4.7,1645
B09J92H67M,"XPG Z1 DDR4 2400MHz (PC4 19200) 16GB (2x8GB) Gaming Memory Modules, Silver (AX4U240038G16-DSZ1)",Computers,,4.7,6873
B0BPMNM5J3,"JETech Screen Protector for iPad 2 3 4 (Oldest Models), Tempered Glass Film, 1-Pack",All Electronics,9.99,4.6,18227
B0971XBV8M,"Amazon Fire TV 65"" Omni Series 4K UHD smart TV with Dolby Vision, hands-free with Alexa",Amazon Devices,599.99,4.5,22744
B08YXVYZ2Q,"Verbatim DVD-R 4.7GB 8X Datalifeplus White Inkjet Printable Surface, Hub Printable - 50Pk Spindle",All Electronics,24.95,4.7,948
B0B4GK8FBL,"Tripp Lite 550VA UPS Battery Backup, 300W Eco Green, USB, RJ11, 8 Outlets (ECO550UPS), Black",Home Audio & Theater,89.77,4.3,708
B07DBYS7DG,"Remote Case for Apple Tv 4th 5th Generation, Akwox Apple TV Siri Remote Cover Case with Lanyard (Purple) -not for New Apple 4k TV Series 6th Gen 2021",All Electronics,5.99,4.8,5430
B07NLNJQ25,Fotodiox Lens Mount Adapter Compatible with C-Mount CCTV/Cine Lenses to Nikon F-Mount Cameras,Camera & Photo,9.95,4.1,4357
B0BKWGCSK5,"NETGEAR Orbi Tri-Band WiFi 6 Router (RBR860S), Coverage up to 2,700 sq. ft, 100 Devices, 10 Gig Internet Port, Free Armor Security, Expandable to Create A Mesh System, AX6000 802.11 AX (Up to 6Gbps)",Computers,379.99,4.0,56
B07DCPJBC3,100ft - 1 inch PET Expandable Braided Sleeving – Black – Alex Tech braided cable sleeve,Tools & Home Improvement,22.99,4.6,21633
B09JK95CNW,"Anker USB-C to USB-C Cable, 643 Cable 100W 6ft, USB 2.0 Type C Charging Cable Fast Charge for MacBook Pro 2020, iPad Pro 2020, iPad Air 4, iPad Mini 6, Galaxy S21, Pixel, Switch (Lilac Purple)",All Electronics,19.54,4.8,9653
B07R73WZ9Y,"Lens Cap Bundle - 4 Snap-on Lens Caps for DSLR Cameras - 4 Lens Cap Keepers - Microfiber Cleaning Cloth Included - Compatible Nikon, Canon, Sony Cameras (55mm)",Camera & Photo,7.99,4.6,7235
B0BRB63HHY,"SV3C WiFi Camera Outdoor, 1080P ONVIF Conformance Two-Way Audio Security Camera, Motion Detection IP Cameras, Night Vision Surveillance Alarm Cam for Indoor Outdoor, Support Max 128GB SD Card Record",Camera & Photo,41.99,4.1,1705
B07ZT5Q1WM,"Amazon Basics Full Motion Articulating TV Wall Mount Bracket with Swivel and Tilt Features for 32-80 inch TVs and Flat Panels up to 130 Lbs, Black",All Electronics,,4.6,36929
B09MH11HB7,Verbatim CD-RW 700MB 2X-12X Rewritable Media Disc - 10 Pack Slim Case,Home Audio & Theater,11.8,4.6,1742
B098D94F83,"Bulk Thumb Drives 256MB Flash Drive Pack of 10 Jump Drives,Small Capacity 256 MB USB 2.0 Memory Stick Multipack Pendrives with Lanyards,Black Portable Swivel Pen Drive for Commercial Gift by FEBNISCTE",Computers,19.66,4.5,3798
B07S1582YY,"Jabra Move Style Edition, Black – Wireless Bluetooth Headphones with Superior Sounds Quality, Long Battery Life, Ultra-Light and Comfortable Wireless Headphones, 3.5 mm Jack Connector Included",Cell Phones & Accessories,149.95,4.3,3434
B075B5T7L5,"Patriot LX Series 64GB High Speed Micro SDXC Class 10 UHS-I Transfer Speeds For Action Cameras, Phones, Tablets, and PCs",Computers,19.99,4.5,4977
B07PZDSY7B,"60ft (18.3M) High Speed HDMI Cable Male to Male with Ethernet Black (60 Feet/18.3 Meters) Supports 4K 30Hz, 3D, 1080p and Audio Return CNE620107",All Electronics,37.99,4.5,2357
B01LAYLFFS,MSI Gaming GeForce GTX 1080 8GB GDDR5X SLI DirectX 12 VR Ready Graphics Card (GTX 1080 AERO 8G OC),Computers,155.37,4.6,829
B0B1YBHS7T,"StarTech.com 20ft (6m) Power Extension Cord, NEMA 5-15R to NEMA 5-15P Black Extension Cord, 13A 125V, 16AWG, Outlet Extension Power Cable, NEMA 5-15R to NEMA 5-15P AC Power Cord - UL Listed (PAC10120)",Home Audio & Theater,17.94,4.8,10553
B0064I7MU8,Sigma 73A205 150-500mm F/5-6.3 APO HSM DG Telephoto Zoom Lens for Sony DSLRs,Camera & Photo,,4.1,982
B000Z9R2QQ,CTCstore 10-in-1 USB 2.0 High Speed Memory Card Reader Writer for SD SDHC MiniSD MiniSDHC MMC rsMMC - Smoke,Computers,,4.0,582
B09R4C84NX,"Wiremold ZKT101 In Wall Flat Screen TV Wire and Cable Hider Organizer Recessed In Wall Cord Management Kit, White",Tools & Home Improvement,49.07,4.7,2507
B09BDX2C9X,"SanDisk 8GB Clip Jam MP3 Player, Blue - microSD Card Slot and FM Radio - SDMX26-008G-G46B",Home Audio & Theater,33.99,4.2,2221
B0B55CBBCS,"InstallerParts (10 Pack Ethernet Cable CAT5E Cable UTP Booted 4 FT - Green - Professional Series - 1Gigabit/Sec Network/Internet Cable, 350MHZ",Computers,18.49,4.7,3955
B01DPGPOTC,TrackR bravo - Silver (Discontinued by Manufacturer),Cell Phones & Accessories,,2.8,1019
B07NW6L27K,SAMSUNG UN75RU7100FXZA Flat 75-Inch 4K UHD 7 Series Ultra HD Smart TV with HDR and Alexa Compatibility (2019 Model),All Electronics,,4.6,16148
B01N5575I9,"Tripp Lite Standard Power Extension Cord 10A, 18AWG (NEMA 5-15P to NEMA 5-15R) 1-ft.(P022-001) , Black",Computers,,4.7,691
B079V8WJ7V,"EasyMountLCD EZM Articulating Heavy-Duty Triple Monitor Mount Stand Free Standing with Grommet Mount Option up to 24"" (002-0033)",Computers,59.95,4.5,449
B0C3R66KS2,"LEADSTAR HDMI Cable 4K 60HZ 25 Ft, 18Gbps High Speed HDMI 2.0 Cable HDCP 2.2 HDR 3D ARC Ethernet - Braided HDMI to HDMI Cord Compatible with Monitor Xbox Series X, Playstation 5, Switch, Fire TV",Computers,18.99,4.7,7023
B00D6GINF4,Corsair CC-9011030-WW Carbide Series Air 540 High Airflow ATX Cube Case - Black,Computers,,4.7,2092
B08FYRNH7S,HyperX Fury 32GB 3466MHz DDR4 CL16 DIMM (Kit of 4) 1Rx8  RGB XMP Desktop Memory HX434C16FB3AK4/32,Computers,239.0,4.7,6293
B09272JC6H,"Cooler Master SickleFlow 120 V2 ARGB 3in1 Square Frame Fan, ARGB 3-Pin Customizable LEDS, Air Balance Curve Blade, Sealed Bearing, 120mm PWM Control for Computer Case & Liquid Radiator",Computers,47.49,4.6,7017
B0BHMN39XP,"Western Digital 2TB WD Gold Enterprise Class Internal Hard Drive - 7200 RPM Class, SATA 6 Gb/s, 128 MB Cache, 3.5"" - WD2005FBYZ",Industrial & Scientific,109.99,4.5,2425
B07Q39HCK1,"Beats Studio3 Wireless Noise Cancelling Over-Ear Headphones - Apple W1 Headphone Chip, Class 1 Bluetooth, Active Noise Cancelling, 22 Hours of Listening Time - Blue (Previous Model)",Apple Products,258.99,4.7,6263
B08BNB4KY3,"Sennheiser Momentum 3 Wireless - Active Noise Cancelling Headphones with Alexa, Auto On/Off, Smart Pause Functionality and Smart Control App - White",All Electronics,,4.2,2326
B09F2WNXYL,"Cat7 Ethernet Cable - 20 ft - RJ45 Connector - Cat 7 Double Shielded STP - 10 Gigabit 600MHz - Premium, High Speed (6m) Network Wire, Patch, LAN Cord - 20 Feet",Computers,12.89,4.7,2345
B0BWMXQZ32,"Surge Protector Power Strip with USB, TROND Ultra Thin Flat Plug 10ft Long Extension Cord 1625W, 3 USB A & 1 Type C, 4 AC Outlets 1440J Surge Protection Wall Mount for Home Office Dorm Room, Black",All Electronics,21.99,4.6,11808
B0BZJ9BYZ3,"Furinno JAYA Large Entertainment Stand for TV Up to 55 Inch, Blackwood",Amazon Home,77.03,4.2,24541
B0819ZF1YR,UGREEN Micro HDMI to HDMI Cable Adapter 4K 60Hz Ethernet Audio Return Channel Compatible with GoPro Hero 7/6 Raspberry Pi 4 Retroid Pocket 2+ Yoga 3 B500 Sony A6000 Camera Video Capture Card 6FT,All Electronics,11.99,4.6,12419
B09N42GVF7,Corsair CMK32GX4M2F4000C19 Vengeance LPX 32GB (2x16GB) DDR4 4000 C19 1.35V Desktop Memory for Intel X299 Black,Computers,,4.8,64372
B071GSGDS4,"CORSAIR AXi Series, AX860i, 860 Watt, 80+ Platinum Certified, Fully Modular - Digital Power Supply",Computers,399.99,3.9,715
B0056UV96I,ASUS Internal 24X SATA Optical Drive DRW-24B3ST/BLK/G (Black),Computers,23.41,4.6,569
B08Z2JQC6N,"Amazon Fire HD 10 Tablet Cover (Only compatible with 11th generation tablet, 2021 release) – Olive",Amazon Devices,39.99,4.6,18834
B08DJC5BSD,FosPower (3 Feet 24K Gold Plated Toslink Digital Optical Audio Cable (S/PDIF) - [Zero RFI & EMI Interference] Metal Connectors & Ultra Durable Nylon Braided Jacket,All Electronics,8.99,4.7,10544
B077VLLLVY,NIKON AF-S DX NIKKOR 55-200mm f/4-5.6G ED VR II Lens - White Box (New),Camera & Photo,110.0,4.7,1694
B07CB1MGMZ,"COMPUTER DUST SOLUTIONS Printer Dust Cover, Covers Inkjet or Laser Printers, Silky Smooth Antistatic Vinyl, Translucent Coconut Cream Color with Blue Trim, Several, (18W x6H x16D)",Computers,19.88,4.7,1735
B0915ZYMXK,C2G/Cables to Go 00482 Cat5e Snagless Unshielded (UTP) Network Patch Cable,All Electronics,17.95,3.5,2
B0BX65VLJ9,"Fintie Rotating Case for iPad 9th Generation (2021) / 8th Generation (2020) / 7th Gen (2019) 10.2 Inch - 360 Degree Rotating Stand Cover with Pencil Holder, Auto Wake Sleep, Starry Night",Computers,22.99,4.6,1189
B00GXXJF72,Logitech Ultrathin Touch Mouse T630 for Windows 8 Touch Gestures,Computers,119.99,4.1,1630
B071KP1SC8,"Fintie Case for iPad Air (3rd Gen) 10.5"" 2019 / iPad Pro 10.5"" 2017 - [SlimShell] Ultra Lightweight Standing Protective Cover with Built-in Pencil Holder, Auto Wake/Sleep (Composition Book)",Computers,13.99,4.6,2950
B00C9TEBJQ,WD Blue 1TB Mobile Hard Disk Drive - 5400 RPM SATA 6 Gb/s 9.5 MM 2.5 Inch - WD10JPVX,Computers,35.99,4.6,1373
B091LY5XSM,"Accell DP to DP 1.2 - VESA-Certified DisplayPort 1.2 Cable - 13 Feet, Hbr2, 4K UHD @60Hz, 1920X1080@240Hz (B142C-013B-2)",All Electronics,21.99,4.7,1867
B07ZZHCYY2,"[3-Piece] PencilCozy Compatible with the Apple Pencil Cap, Protective Cover & Charging Cable Adapter Holder/Tether, Prevent Damage, Works with Apple iPad Pro Pencil (Aquamarine)",Office Products,4.91,4.5,265
B0C21VGY5N,"BOSS Audio Systems CXX10 Chaos Exxtreme Series 10 Inch Car Subwoofer - 800 Watts Max, Single 4 Ohm Voice Coil, Hook Up to Amp",Car Electronics,44.99,4.3,1181
B01MTCKTJ6,"LEPA AquaChanger 240mm Intel/AMD High Performance Liquid CPU Cooler, LPWAC240-HF",Computers,,4.0,410
B00INCA0VG,"Cmple - Optical Audio Cable 100ft - Slim Fiber Optic Cable Ultra-Thin Gold Plated Toslink Cable Digital S/PDIF Audio for Soundbar Av Receivers, TV Sound Bar, Game Console Slim Optical Cord",All Electronics,29.99,4.5,495
B01MS8YTYX,"VELOCIFIRE TKL01 Wired Mechanical Keyboard 87-Key Tenkeyless with Brown Switches, ICY Blue LED Backlit for Copywriters, Gamers, and Programmers",Computers,,4.2,650
B09B4RTCRG,"PHILIPS 3 Ft. USB Type C Cable, USB-A to USB-C Red Durable Braided Fast Charging Cable, Compatible with iPad Pro, MacBook Pro, Samsung Galaxy S21/S10/S9/Plus, Google Pixel 5/C/3/2/XL, DLC5203RA/37",All Electronics,4.99,4.0,29
B00CPLGFM4,AMD A6-6400K Richland 3.9GHz Socket FM2 65W Dual-Core Desktop Processor AMD Radeon HD AD640KOKHLBOX,Computers,95.0,4.2,562
B00HHEAMXC,"iPad Stand TechMatte Multi-Angle Aluminum Holder for Tablets, E-Readers and Smartphones, Nintendo Switch - Mini Stand",Computers,10.99,4.6,1955
B091MTYM1T,"GLANICS CAT 8 Ethernet Cable 50 ft, High Speed Internet Network Cable, SSTP LAN Cord with Gold Plated RJ45 Connector for Routers, Modems, POE, Gaming, Xbox, Switches, PS5, PS4 (Black)",Computers,27.79,4.7,3642
B0862W5BQ8,DATA COMM Electronics 45-6001-WH-S 1-Gang Recessed Low Voltage Cable Plate with Bracket - White,All Electronics,6.6,4.7,6103
B07HL5SDPQ,"Amazon Basics Lightweight Adjustable Mini Tripod Stand - Pack of 4, 5 - 7.5 Inches, Black",Camera & Photo,,4.2,14047
B003MQWN40,"Opteka RC-3 Wireless Remote Control for Sony Alpha A33, A55, A57, A65, A77, A99, NEX-5, NEX-6, NEX-7, A230, A330, A380, A390, A450, A500, A550, A560, A580, A700, A850, A900 (RMT-DSLR1 Replacement)",Camera & Photo,7.95,4.3,774
B0027IS4KQ,Seagate Expansion 640 GB USB 2.0 Portable External Hard Drive ST906404EXA101-RK,All Electronics,168.68,4.6,1178
B08CZ4KZHN,"4K HDMI Cable 6ft (2-Pack) - Atevon High Speed 18Gbps HDMI 2.0 Cable - HDCP 2.2-4K HDR, 3D, 2160P, 1080P, Ethernet - 28AWG Braided HDMI Cord - Audio Return Compatible with TV, PC, Blu-ray Player",Computers,,4.7,16008
B00QXOJJHW,Cable Matters Mini DisplayPort to VGA Adapter (Mini DP to VGA) in Black - Thunderbolt and Thunderbolt 2 Port Compatible,Computers,10.99,4.6,1252
B07M7SK1T1,"MoKo Case Fit Apple iPad Pro 9.7 Inch 2016 Release Tablet (A1673/A1674/A1675) - Slim Lightweight Smart Shell Stand Cover with Translucent Frosted Back Protector, Black (with Auto Wake/Sleep)",Cell Phones & Accessories,12.99,4.5,8771
B00DO2M27K,Sigma 18-35mm F1.8 Art DC HSM Lens for Pentax,Camera & Photo,749.0,4.7,3146
B00BARHMIU,Apricorn SATA Wire Notebook Hard Drive Upgrade Kit with USB 3.0 Connection ASW-USB3-25 (Grey),All Electronics,,4.4,1439
B076GVVB6R,"DanYee Cat 7 Ethernet Cable, Nylon Braided 6.5ft CAT7 High Speed Professional Gold Plated Plug STP Wires CAT 7 RJ45 Ethernet Cable 3ft 10ft 16ft 26ft 33ft 50ft 66ft 100ft (Gold 6.5ft)",Computers,6.79,4.7,17530
B0854CTL5N,Amazon eero mesh WiFi system – router replacement for whole-home coverage (3-pack),Amazon Devices,169.99,4.4,35661
B000X23I22,"VideoSecu One Height Adjustable 2""-6"" Camera Wall Ceiling Mount Bracket for CCTV CCD Box Body Camera Pan Tilt Bracket 1A2",Camera & Photo,14.99,4.5,632
B077SCPGGL,"Tera Grand - 14FT - Premium CAT7 Double Shielded 10 Gigabit 600MHz Ethernet Patch Cable for Modem Router LAN Network, Gold Plated Shielded RJ45 Connectors, Faster Than CAT6a CAT6 CAT5e, White",Computers,14.99,4.4,59
B0B8CPMS4T,"SOULWIT Cable Holder Clips, 3-Pack Cable Management Cord Organizer Clips Silicone Self Adhesive for Desktop USB Charging Cable Nightstand Power Cord Mouse Cable Wire PC Office Home",Industrial & Scientific,6.35,4.6,21758
B0BLVYRWTX,Compatible with AirPods Pro Case Cover Silicone Protective Case Skin for Airpods Pro 2019 (Front LED Visible) Nightglow Blue,All Electronics,10.99,4.5,49113
B0B59D5468,GoPro Gooseneck (All GoPro Cameras) - Official GoPro Mount,Camera & Photo,16.99,4.4,613
B08599PCBQ,Griffin Technology NA16029 PowerMate USB Multimedia Controller,All Electronics,,3.6,567
B08484Q1JB,"B + W 43mm UV Protection Filter (010) for Camera Lens – Standard Mount (F-PRO), E Coating, 2 Layers Resistant Coating, Photography Filter, 43 mm, Clear Protector",Camera & Photo,,4.8,12405
B0B1MS4ZM1,1000W Power Supply 80 Plus Gold Certified Fully Modular PSU,Computers,,4.7,3913
B074W2JMS6,"CableCreation USB C Cable 10FT USB A to USB C Cable Braided USB to C Cable Fast Charging Cable 3A 480Mbps Data Compatible with MacBook Air Chromebook Pixel Galaxy S22 S21 S10, etc 3M Space Gray",Computers,12.59,4.6,20965
B00LSO0QGK,Celestron X-Cel LX Series Eyepiece - 1.25-Inch 9mm 93423,Camera & Photo,99.95,4.5,2622
B0BTZDHJXY,KECC Compatible with MacBook Air 13 inch Case 2022 2021 2020 2019 2018 Release A2337 M1 A2179 A1932 Retina Display + Touch ID Protective Plastic Hard Shell (Blue),Computers,17.99,4.4,16828
B08QSB7SR3,"Ring Stick Up Cam Battery HD security camera with custom privacy controls, Simple setup, Works with Alexa - White",Amazon Devices,69.99,4.7,57575
B07RT1MPCD,"6ft (1.8M) High Speed HDMI Cable Male to Male with Ethernet Black (6 Feet/1.8 Meters) Supports 4K 30Hz, 3D, 1080p and Audio Return CNE58840 (10 Pack)",Home Audio & Theater,,4.6,932
B01AHXH9Z8,"CowboyStudio Photo Studio 24 Inch 2 in 1 Collapsible Multi Disc Reflector, Gold/Silver",Camera & Photo,10.98,4.2,179
B0B1Y93NPP,"StarTech.com 10ft (3m) Computer Power Cord, NEMA 5-15P to C13, 10A 125V, 18AWG, 10 Pack, Black Replacement AC Power Cord, Printer Power Cord, Monitor/PC Power Supply Cable - UL Listed (PXT1011010PK)",Computers,68.06,4.8,12542
B0B4F89LH4,"Monoprice USB 2.0 Cable - 1.5 Feet - White | USB Type-A Male to USB Type-A Male, 28/24AWG, Gold Plated, 480 Mbps",Computers,3.64,4.6,9466
B0BR6ZF28J,"Anker 3.3ft Premium Nylon Lightning Cable [2-Pack], Apple MFi Certified for iPhone Chargers, iPhone Xs/XS Max/XR/X / 8/8 Plus / 7/7 Plus / 6/6 Plus / 5s, iPad Pro Air 2, and More(Black)",Cell Phones & Accessories,18.69,4.7,4276
B00FDLEFDE,5 X iDsonix Professional Premium Anti-Static Hard Drive Protection Box for 3.5 Inch HDD Storage Moistureproof Dustproof Shockproof,Cell Phones & Accessories,,4.5,215
B08BLWH7H5,"SEKC 120GB SSD SATA III 6 Gb/s, Up to 550/530 MB/s Read/Write Speed, Internal 2.5"" 7mm (SS310120G)",Computers,15.99,4.4,527
B07DQG49DK,Corsair LED for RAM,Computers,,4.6,1890
B00TIQ213Q,"(Old Model) Toshiba 3TB SATA 6Gb/s 7200rpm 3.5"" Inte",Computers,159.0,4.3,641
B01MTY7MSK,"Kuzy Compatible with MacBook Air 13 inch Case 2017 2015 - A1466 MacBook Air Case Cover Hardshell MacBook Air 13.3 inch Case - MacBook Air 2017 Case - Older Version Case, Clear",Computers,25.99,4.4,6848
B08412RDN2,Crucial Ballistix 2666 MHz DDR4 DRAM Laptop Gaming Memory Kit 16GB (8GBx2) CL16 BL2K8G26C16S4B,Computers,,4.6,4421
B085B41GP8,"MeFOTO Backpacker S Lightweight 54.7"" Aluminum Travel Tripod/Monopod w/Case, Twist Locks, Dual Action Ballhead w/Arca Swiss Plate for Mirrorless/DSLR Sony Nikon Canon Fuji - Aluminum Green (BPSAGRN)",Camera & Photo,,4.4,453
B07QTX5PJK,"Epson Home Cinema 5050UB 4K PRO-UHD 3-Chip Projector with HDR,White",All Electronics,2879.0,4.7,444
B07DQCDY9M,"Sony ICFP26 Portable AM/FM Radio,Black",Home Audio & Theater,48.0,4.4,10297
B086YNGWWJ,"StarTech.com 4-Bay Hard Drive Duplicator and Eraser, External Standalone 1:3 HDD/SSD Cloner/Copier, USB 3.0 / eSATA to SATA Docking Station, Hard Disk Copier / Sanitizer / Wiper Tool (SATDOCK4U3RE)",All Electronics,472.71,4.5,905
